weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
132,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-04-04,Hardcover Fiction
3,Delacorte,THE AFFAIR,Danielle Steel,by Danielle Steel,,2021-04-04,Hardcover Fiction
3,Park Row,THE LOST APOTHECARY,Sarah Penner,by Sarah Penner,,2021-04-04,Hardcover Fiction
2,Atria/Emily Bestler,LIFE AFTER DEATH,Sister Souljah,by Sister Souljah,,2021-03-28,Hardcover Fiction
6,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-03-28,Hardcover Fiction
15,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-03-28,Hardcover Fiction
2,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-03-28,Hardcover Fiction
2,Putnam,DARK SKY,C.J. Box,by C.J. Box,,2021-03-28,Hardcover Fiction
1,Penguin Press,2034,Elliot Ackerman and Adm. James Stavridis,by Elliot Ackerman and Adm. James Stavridis,,2021-03-28,Hardcover Fiction
1,Putnam,FAST ICE,Clive Cussler and Graham Brown,by Clive Cussler and Graham Brown,,2021-03-28,Hardcover Fiction
2,Delacorte,THE AFFAIR,Danielle Steel,by Danielle Steel,,2021-03-28,Hardcover Fiction
2,Holt,WE BEGIN AT THE END,Chris Whitaker,by Chris Whitaker,,2021-03-28,Hardcover Fiction
20,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-03-28,Hardcover Fiction
2,Park Row,THE LOST APOTHECARY,Sarah Penner,by Sarah Penner,,2021-03-28,Hardcover Fiction
41,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-03-28,Hardcover Fiction
4,Bloomsbury,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,2021-03-28,Hardcover Fiction
6,Pamela Dorman,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,2021-03-28,Hardcover Fiction
131,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-03-28,Hardcover Fiction
1,Atria/Emily Bestler,LIFE AFTER DEATH,Sister Souljah,by Sister Souljah,,2021-03-21,Hardcover Fiction
5,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-03-21,Hardcover Fiction
1,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-03-21,Hardcover Fiction
1,Putnam,DARK SKY,C.J. Box,by C.J. Box,,2021-03-21,Hardcover Fiction
1,Delacorte,THE AFFAIR,Danielle Steel,by Danielle Steel,,2021-03-21,Hardcover Fiction
14,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-03-21,Hardcover Fiction
1,Park Row,THE LOST APOTHECARY,Sarah Penner,by Sarah Penner,,2021-03-21,Hardcover Fiction
40,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-03-21,Hardcover Fiction
1,Avid Reader/Simon & Schuster,INFINITE COUNTRY,Patricia Engel,by Patricia Engel,,2021-03-21,Hardcover Fiction
3,Bloomsbury,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,2021-03-21,Hardcover Fiction
1,Grand Central,WHAT'S MINE AND YOURS,Naima Coster,by Naima Coster,,2021-03-21,Hardcover Fiction
19,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-03-21,Hardcover Fiction
5,Pamela Dorman,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,2021-03-21,Hardcover Fiction
1,Holt,WE BEGIN AT THE END,Chris Whitaker,by Chris Whitaker,,2021-03-21,Hardcover Fiction
1,Grove,THE COMMITTED,Viet Thanh Nguyen,by Viet Thanh Nguyen,,2021-03-21,Hardcover Fiction
4,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-03-14,Hardcover Fiction
2,Bloomsbury,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,2021-03-14,Hardcover Fiction
13,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-03-14,Hardcover Fiction
4,Pamela Dorman,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,2021-03-14,Hardcover Fiction
39,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-03-14,Hardcover Fiction
18,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-03-14,Hardcover Fiction
130,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-03-14,Hardcover Fiction
1,Minotaur,THE KAISER'S WEB,Steve Berry,by Steve Berry,,2021-03-14,Hardcover Fiction
3,St. Martin's,FAITHLESS IN DEATH,J.D. Robb,by J.D. Robb,,2021-03-14,Hardcover Fiction
5,"Little, Brown",THE RUSSIAN,James Patterson and James O. Born,by James Patterson and James O. Born,,2021-03-14,Hardcover Fiction
1,Kensington,TRIPLE CHOCOLATE CHEESECAKE MURDER,Joanne Fluke,by Joanne Fluke,,2021-03-14,Hardcover Fiction
1,Delacorte,KINGDOM OF SHADOW AND LIGHT,Karen Marie Moning,by Karen Marie Moning,,2021-03-14,Hardcover Fiction
3,Atria,THE PARIS LIBRARY,Janet Skeslien Charles,by Janet Skeslien Charles,,2021-03-14,Hardcover Fiction
22,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-03-14,Hardcover Fiction
24,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-03-14,Hardcover Fiction
1,Bloomsbury,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,2021-03-07,Hardcover Fiction
3,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-03-07,Hardcover Fiction
12,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-03-07,Hardcover Fiction
38,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-03-07,Hardcover Fiction
3,Pamela Dorman,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,2021-03-07,Hardcover Fiction
17,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-03-07,Hardcover Fiction
129,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-03-07,Hardcover Fiction
4,"Little, Brown",THE RUSSIAN,James Patterson and James O. Born,by James Patterson and James O. Born,,2021-03-07,Hardcover Fiction
2,St. Martin's,FAITHLESS IN DEATH,J.D. Robb,by J.D. Robb,,2021-03-07,Hardcover Fiction
1,Morrow,MISSING AND ENDANGERED,J.A. Jance,by J.A. Jance,,2021-03-07,Hardcover Fiction
1,Berkley,RELENTLESS,Mark Greaney,by Mark Greaney,,2021-03-07,Hardcover Fiction
23,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-03-07,Hardcover Fiction
2,Atria,THE PARIS LIBRARY,Janet Skeslien Charles,by Janet Skeslien Charles,,2021-03-07,Hardcover Fiction
21,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-03-07,Hardcover Fiction
19,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-03-07,Hardcover Fiction
2,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-02-28,Hardcover Fiction
1,St. Martin's,FAITHLESS IN DEATH,J.D. Robb,by J.D. Robb,,2021-02-28,Hardcover Fiction
11,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-02-28,Hardcover Fiction
2,Pamela Dorman,THE SANATORIUM,Sarah Pearse,by Sarah Pearse,,2021-02-28,Hardcover Fiction
37,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-02-28,Hardcover Fiction
16,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-02-28,Hardcover Fiction
3,"Little, Brown",THE RUSSIAN,James Patterson and James O. Born,by James Patterson and James O. Born,,2021-02-28,Hardcover Fiction
128,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-02-28,Hardcover Fiction
